EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
15,31,0.0,Travel_Rarely,616,Research & Development,12.0,3,Medical,4,Female,41,3,2,Healthcare Representative,4,Married,5855.0,17369,0.0,Yes,11.0,3,3,2,10.0,2.0,1,9.0,7.0,7.5,5.0
16,38,0.0,Non-Travel,573,Research & Development,6.0,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7.0,Yes,12.0,3,4,3,17.0,3.0,3,13.0,11.0,1.0,9.0
17,39,0.0,Travel_Rarely,408,Research & Development,2.0,4,Technical Degree,4,Female,80,2,2,Healthcare Representative,3,Single,4553.0,20978,1.0,No,11.0,3,1,0,20.0,4.0,3,18.0,7.0,7.5,10.0
18,54,0.0,Travel_Rarely,821,Research & Development,5.0,2,Medical,1,Male,86,3,5,Research Director,1,Married,17490.875,8509,4.0,No,11.0,3,3,1,24.0,4.0,2,4.0,2.0,1.0,2.0
20,49,0.0,Travel_Rarely,1098,Research & Development,4.0,2,Medical,1,Male,85,2,5,Manager,3,Married,17490.875,12124,2.0,No,13.0,3,3,1,23.0,2.0,4,1.0,0.0,0.0,0.0
21,24,0.0,Travel_Rarely,691,Research & Development,23.0,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725.0,21630,1.0,Yes,11.0,3,2,2,6.0,3.0,3,6.0,5.0,1.0,4.0
22,40,0.0,Travel_Rarely,302,Research & Development,6.0,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237.0,20364,7.0,No,15.0,3,3,0,22.0,3.0,3,18.0,6.0,5.0,13.0
23,41,0.0,Non-Travel,267,Sales,10.0,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230.0,13430,7.0,No,14.0,3,4,0,16.0,3.0,3,14.0,3.0,1.0,10.0
24,32,0.0,Travel_Rarely,588,Sales,8.0,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228.0,24624,1.0,Yes,11.0,3,4,0,13.0,2.0,3,13.0,12.0,7.5,9.0
25,24,1.0,Travel_Rarely,813,Research & Development,1.0,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2.0,Yes,16.0,3,1,1,6.0,2.0,2,2.0,0.0,2.0,0.0
28,39,0.0,Travel_Rarely,412,Research & Development,13.0,4,Medical,3,Female,94,2,4,Manager,2,Divorced,17123.0,17334,6.0,Yes,13.0,3,4,2,21.0,4.0,3,18.0,9.0,7.5,2.0
29,59,0.0,Travel_Rarely,818,Human Resources,6.0,2,Medical,2,Male,52,3,1,Human Resources,3,Married,2267.0,25657,8.0,No,17.0,3,4,0,7.0,2.0,2,2.0,2.0,2.0,2.0
31,36,0.0,Travel_Rarely,1425,Research & Development,14.0,1,Life Sciences,3,Male,68,3,2,Healthcare Representative,4,Married,6586.0,4821,0.0,Yes,17.0,3,1,1,17.0,2.0,2,16.0,8.0,4.0,11.0
32,30,0.0,Travel_Rarely,853,Research & Development,7.0,4,Life Sciences,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491.0,11309,1.0,No,13.0,3,1,3,10.0,4.0,2,10.0,7.0,7.5,9.0
33,38,0.0,Travel_Rarely,433,Human Resources,1.0,3,Human Resources,3,Male,37,4,1,Human Resources,3,Married,2844.0,6004,1.0,No,13.0,3,4,1,7.0,2.0,4,7.0,6.0,5.0,0.0
34,28,1.0,Travel_Frequently,1496,Sales,1.0,3,Technical Degree,1,Male,92,3,1,Sales Representative,3,Married,2909.0,15747,3.0,No,15.0,3,4,1,5.0,3.0,4,3.0,2.0,1.0,2.0
35,31,0.0,Travel_Rarely,192,Research & Development,2.0,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695.0,7747,0.0,Yes,18.0,3,2,1,3.0,2.0,1,2.0,2.0,2.0,2.0
36,36,0.0,Non-Travel,845,Sales,1.0,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,6653.0,15276,4.0,No,15.0,3,2,0,7.0,4.5,3,1.0,0.0,0.0,0.0
37,32,0.0,Travel_Rarely,427,Research & Development,1.0,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1.0,Yes,22.0,4,2,1,9.0,3.0,3,9.0,8.0,7.0,8.0
39,28,0.0,Non-Travel,120,Sales,4.0,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1.0,No,15.0,3,2,0,5.0,3.0,4,5.0,4.0,0.0,4.0
40,31,1.0,Travel_Rarely,249,Sales,6.0,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172.0,20739,4.0,Yes,18.0,3,2,0,12.0,3.0,2,7.0,7.0,7.0,7.0
41,50,0.0,Travel_Rarely,316,Sales,8.0,4,Marketing,4,Male,54,3,1,Sales Representative,2,Married,3875.0,9983,7.0,No,15.0,3,4,1,4.0,2.0,3,2.0,2.0,2.0,2.0
42,39,0.0,Travel_Rarely,1132,Research & Development,1.0,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613.0,10942,0.0,No,17.0,3,1,3,19.0,4.5,2,18.0,10.0,3.0,7.0
43,35,0.0,Travel_Rarely,809,Research & Development,16.0,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0.0,No,13.0,3,3,1,6.0,4.5,3,5.0,4.0,0.0,3.0
44,32,0.0,Travel_Frequently,379,Sales,5.0,2,Life Sciences,2,Male,48,3,2,Sales Executive,2,Married,6524.0,8891,1.0,No,14.0,3,4,1,10.0,3.0,3,10.0,8.0,5.0,3.0
45,26,1.0,Travel_Rarely,1330,Research & Development,21.0,3,Medical,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377.0,19373,1.0,No,20.0,4,3,1,1.0,0.5,2,1.0,1.0,0.0,0.0
46,30,0.0,Travel_Rarely,288,Research & Development,2.0,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830,1.0,No,19.0,3,1,3,11.0,3.0,3,11.0,10.0,7.5,8.0
49,38,0.0,Travel_Frequently,216,Research & Development,23.0,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787,0.0,No,21.0,4,2,0,10.0,2.0,3,9.0,7.0,1.0,8.0
50,21,0.0,Travel_Rarely,1343,Sales,22.0,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,3447.0,24444,1.0,No,11.0,3,3,0,3.0,2.0,3,3.0,2.0,1.0,2.0
51,35,0.0,Travel_Rarely,950,Research & Development,7.0,3,Other,3,Male,59,3,3,Manufacturing Director,3,Single,10221.0,18869,3.0,No,21.0,4,2,0,17.0,3.0,4,8.0,5.0,1.0,6.0
54,26,0.0,Travel_Frequently,1479,Research & Development,1.0,3,Life Sciences,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397.0,26767,1.0,No,20.0,4,1,1,6.0,4.5,1,6.0,5.0,1.0,4.0
55,31,1.0,Travel_Frequently,523,Research & Development,2.0,3,Life Sciences,2,Male,94,3,1,Laboratory Technician,4,Married,3722.0,21081,6.0,Yes,13.0,3,3,1,7.0,2.0,1,2.0,2.0,2.0,2.0
57,32,0.0,Travel_Rarely,1062,Research & Development,2.0,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370.0,3956,1.0,No,13.0,3,3,1,8.0,4.0,3,8.0,0.0,0.0,7.0
58,32,0.0,Travel_Rarely,929,Sales,10.0,3,Marketing,4,Male,55,3,2,Sales Executive,4,Single,5396.0,21703,1.0,No,12.0,3,4,0,10.0,2.0,2,10.0,7.0,0.0,8.0
59,34,0.0,Travel_Rarely,1303,Research & Development,2.0,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,2768.0,8416,3.0,No,12.0,3,3,1,14.0,3.0,3,7.0,3.0,5.0,7.0
60,33,0.0,Travel_Frequently,553,Research & Development,5.0,4,Life Sciences,4,Female,74,3,3,Manager,2,Married,11878.0,23364,6.0,No,11.0,3,2,2,12.0,2.0,3,10.0,6.0,7.5,8.0
61,47,0.0,Travel_Rarely,983,Research & Development,2.0,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070.0,7389,5.0,No,13.0,3,3,3,20.0,2.0,3,5.0,0.0,0.0,4.0
63,30,0.0,Travel_Rarely,921,Research & Development,1.0,3,Life Sciences,4,Male,38,1,1,Laboratory Technician,3,Married,3833.0,24375,3.0,No,21.0,4,3,2,7.0,2.0,3,2.0,2.0,0.0,2.0
64,58,0.0,Travel_Rarely,1145,Research & Development,9.0,3,Medical,2,Female,75,2,1,Research Scientist,2,Married,3346.0,11873,4.0,Yes,20.0,4,2,1,9.0,3.0,2,1.0,0.0,0.0,0.0
65,37,1.0,Travel_Rarely,625,Sales,1.0,4,Life Sciences,1,Male,46,2,3,Sales Executive,3,Married,10609.0,14922,5.0,No,11.0,3,3,0,17.0,2.0,1,14.0,1.0,7.5,7.0
68,38,0.0,Travel_Rarely,1380,Research & Development,9.0,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,2288.0,6319,1.0,No,12.0,3,3,0,2.0,3.0,3,2.0,2.0,2.0,1.0
69,43,1.0,Travel_Rarely,1372,Sales,9.0,3,Marketing,1,Female,85,1,2,Sales Executive,3,Single,5346.0,9489,8.0,No,13.0,3,2,0,7.0,2.0,2,4.0,3.0,1.0,3.0
71,52,0.0,Travel_Frequently,322,Research & Development,28.0,2,Medical,4,Female,59,4,4,Manufacturing Director,3,Married,13247.0,9731,2.0,Yes,11.0,3,2,1,24.0,3.0,2,5.0,3.0,0.0,2.0
73,44,0.0,Travel_Rarely,1488,Sales,1.0,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5.0,Yes,21.0,4,3,1,9.0,2.0,2,4.0,3.0,1.0,3.0
74,59,0.0,Travel_Rarely,142,Research & Development,3.0,3,Life Sciences,3,Male,70,2,1,Research Scientist,4,Married,2177.0,8456,3.0,No,17.0,3,1,1,7.0,4.5,3,1.0,0.0,0.0,0.0
77,42,0.0,Non-Travel,926,Research & Development,21.0,2,Medical,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265.0,16439,2.0,No,16.0,3,2,1,11.0,4.5,3,5.0,3.0,0.0,2.0
78,45,0.0,Travel_Rarely,561,Sales,2.0,3,Other,4,Male,61,3,2,Sales Executive,2,Married,4805.0,16177,0.0,No,19.0,3,2,1,9.0,3.0,4,8.0,7.0,3.0,7.0
81,21,1.0,Travel_Rarely,1427,Research & Development,18.0,1,Other,4,Female,65,3,1,Research Scientist,4,Single,2693.0,8870,1.0,No,19.0,3,1,0,1.0,3.0,2,1.0,0.0,0.0,0.0
82,23,0.0,Travel_Rarely,885,Research & Development,4.0,3,Medical,1,Male,58,4,1,Research Scientist,1,Married,2819.0,8544,2.0,No,16.0,3,1,1,5.0,3.0,4,3.0,2.0,0.0,2.0
84,54,0.0,Travel_Rarely,1147,Sales,3.0,3,Marketing,4,Female,52,3,2,Sales Executive,1,Married,5940.0,17011,2.0,No,14.0,3,4,1,16.0,4.0,3,6.0,2.0,0.0,5.0
85,41,0.0,Travel_Rarely,509,Research & Development,7.0,2,Technical Degree,2,Female,43,4,1,Research Scientist,3,Married,3376.0,18863,1.0,No,13.0,3,3,0,10.0,3.0,3,10.0,6.0,0.0,8.0
86,45,0.0,Travel_Rarely,1038,Research & Development,20.0,3,Medical,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851.0,19863,2.0,Yes,18.0,3,2,1,24.0,2.0,3,7.0,7.0,0.0,7.0
88,45,0.0,Non-Travel,1052,Sales,6.0,3,Medical,4,Female,57,2,3,Sales Executive,4,Single,8865.0,16840,6.0,No,12.0,3,4,0,23.0,2.0,3,18.0,7.0,7.5,8.0
93,55,0.0,Travel_Rarely,111,Sales,1.0,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3.0,No,14.0,3,4,1,24.0,4.0,3,1.0,0.0,1.0,0.0
95,34,0.0,Travel_Frequently,1069,Research & Development,2.0,1,Life Sciences,4,Male,45,2,2,Manufacturing Director,3,Married,9547.0,14074,1.0,No,17.0,3,3,0,10.0,2.0,2,10.0,9.0,1.0,9.0
97,57,0.0,Travel_Rarely,405,Research & Development,1.0,2,Life Sciences,2,Male,93,4,2,Research Scientist,3,Married,4900.0,2721,0.0,No,24.0,4,1,1,13.0,2.0,2,12.0,9.0,2.0,8.0
99,33,0.0,Travel_Rarely,147,Research & Development,4.0,4,Medical,3,Female,47,2,1,Research Scientist,2,Married,2622.0,13248,6.0,No,21.0,4,4,0,7.0,3.0,3,3.0,2.0,1.0,1.0
100,32,0.0,Non-Travel,300,Research & Development,1.0,3,Life Sciences,4,Male,61,3,1,Laboratory Technician,4,Divorced,2314.0,9148,0.0,No,12.0,3,2,1,4.0,2.0,3,3.0,0.0,0.0,2.0
101,21,1.0,Travel_Frequently,251,Research & Development,10.0,2,Life Sciences,1,Female,45,2,1,Laboratory Technician,3,Single,2625.0,25308,1.0,No,20.0,4,3,0,2.0,2.0,1,2.0,2.0,2.0,2.0
102,34,1.0,Travel_Frequently,296,Sales,6.0,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351.0,12253,0.0,No,16.0,3,4,1,3.0,3.0,2,2.0,2.0,1.0,0.0
104,27,0.0,Travel_Frequently,1242,Sales,20.0,3,Life Sciences,4,Female,90,3,2,Sales Executive,3,Single,9981.0,12916,1.0,No,14.0,3,4,0,7.0,2.0,3,7.0,7.0,0.0,7.0
106,36,0.0,Travel_Rarely,917,Research & Development,6.0,4,Life Sciences,3,Male,60,1,1,Laboratory Technician,3,Divorced,2741.0,6865,1.0,No,14.0,3,3,1,7.0,4.0,3,7.0,7.0,1.0,7.0
107,41,1.0,Travel_Rarely,1360,Research & Development,12.0,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,17490.875,16280,1.0,No,12.0,3,4,0,23.0,0.5,3,18.0,14.5,7.5,8.0
109,33,0.0,Travel_Frequently,1296,Research & Development,6.0,3,Life Sciences,3,Male,30,3,2,Healthcare Representative,4,Divorced,7725.0,5335,3.0,No,23.0,4,3,1,15.0,2.0,1,13.0,11.0,4.0,7.0
110,18,1.0,Non-Travel,247,Research & Development,8.0,1,Medical,3,Male,80,3,1,Laboratory Technician,3,Single,1904.0,13556,1.0,No,12.0,3,4,0,0.0,0.5,3,0.0,0.0,0.0,0.0
111,27,0.0,Travel_Rarely,894,Research & Development,9.0,3,Medical,4,Female,99,3,1,Research Scientist,2,Single,2279.0,11781,1.0,No,16.0,3,4,0,7.0,2.0,2,7.0,7.0,0.0,3.0
112,22,0.0,Travel_Rarely,1230,Research & Development,1.0,2,Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,4775.0,19146,6.0,No,22.0,4,1,2,4.0,2.0,1,2.0,2.0,2.0,2.0
113,33,1.0,Travel_Rarely,813,Research & Development,14.0,3,Medical,3,Male,58,3,1,Laboratory Technician,4,Married,2436.0,22149,5.0,Yes,13.0,3,3,1,8.0,2.0,1,5.0,4.0,0.0,4.0
114,42,0.0,Travel_Frequently,1368,Research & Development,28.0,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523.0,4386,0.0,No,11.0,3,4,3,7.0,4.0,4,6.0,5.0,0.0,4.0
115,29,0.0,Travel_Frequently,806,Research & Development,1.0,4,Life Sciences,2,Male,76,1,1,Research Scientist,4,Divorced,2720.0,18959,1.0,No,18.0,3,4,1,10.0,4.5,3,10.0,7.0,2.0,8.0
117,35,0.0,Travel_Rarely,817,Research & Development,1.0,3,Medical,4,Female,60,2,2,Laboratory Technician,4,Married,5363.0,10846,0.0,No,12.0,3,2,1,10.0,0.5,3,9.0,7.0,0.0,0.0
119,37,0.0,Non-Travel,142,Sales,9.0,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,8834.0,24666,1.0,No,13.0,3,4,1,9.0,4.5,3,9.0,5.0,7.0,7.0
121,52,1.0,Travel_Rarely,266,Sales,2.0,1,Marketing,1,Female,57,1,5,Manager,4,Married,17490.875,25846,1.0,No,15.0,3,4,1,31.0,3.0,3,18.0,14.0,6.0,9.0
122,31,0.0,Travel_Rarely,218,Sales,7.0,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929.0,12241,4.0,No,11.0,3,2,1,10.0,3.0,2,8.0,7.0,7.0,7.0
123,29,0.0,Travel_Rarely,1396,Sales,10.0,3,Life Sciences,3,Male,99,3,1,Sales Representative,3,Single,2642.0,2755,1.0,No,11.0,3,3,0,1.0,4.5,3,1.0,0.0,0.0,0.0
126,32,1.0,Non-Travel,1474,Sales,11.0,4,Other,4,Male,60,4,2,Sales Executive,3,Married,4707.0,23914,8.0,No,12.0,3,4,0,6.0,2.0,3,4.0,2.0,1.0,2.0
127,35,0.0,Non-Travel,1097,Research & Development,11.0,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2.0,Yes,13.0,3,3,1,10.0,3.0,3,4.0,0.0,2.0,3.0
128,43,0.0,Travel_Rarely,920,Research & Development,3.0,3,Life Sciences,3,Male,96,1,5,Research Director,4,Married,17490.875,18625,3.0,No,14.0,3,2,1,25.0,2.0,3,8.0,7.0,0.0,7.0
129,33,0.0,Travel_Rarely,134,Research & Development,2.0,3,Life Sciences,3,Male,90,3,1,Research Scientist,4,Single,2500.0,10515,0.0,No,14.0,3,1,0,4.0,2.0,4,3.0,1.0,0.0,2.0
133,37,0.0,Travel_Rarely,309,Sales,10.0,4,Life Sciences,4,Female,88,2,2,Sales Executive,4,Divorced,6694.0,24223,2.0,Yes,14.0,3,3,3,8.0,4.5,3,1.0,0.0,0.0,0.0
134,27,1.0,Travel_Rarely,135,Research & Development,17.0,4,Life Sciences,4,Female,51,3,1,Research Scientist,3,Single,2394.0,25681,1.0,Yes,13.0,3,4,0,8.0,2.0,3,8.0,2.0,7.0,7.0
135,28,0.0,Travel_Rarely,1451,Research & Development,2.0,1,Life Sciences,1,Male,67,2,1,Research Scientist,2,Married,3201.0,19911,0.0,No,17.0,3,1,0,6.0,2.0,1,5.0,3.0,0.0,4.0
136,27,0.0,Travel_Frequently,294,Research & Development,10.0,2,Life Sciences,4,Male,32,3,3,Manufacturing Director,1,Divorced,8793.0,4809,1.0,No,21.0,4,3,2,9.0,4.0,2,9.0,7.0,1.0,7.0
137,37,0.0,Travel_Rarely,342,Sales,16.0,4,Marketing,4,Male,66,2,2,Sales Executive,3,Divorced,6334.0,24558,4.0,No,19.0,3,4,2,9.0,2.0,3,1.0,0.0,0.0,0.0
138,27,0.0,Travel_Rarely,199,Research & Development,6.0,3,Life Sciences,4,Male,55,2,1,Research Scientist,3,Married,2539.0,7950,1.0,No,13.0,3,3,1,4.0,0.5,3,4.0,2.0,2.0,2.0
139,37,0.0,Travel_Frequently,319,Sales,4.0,4,Marketing,1,Male,41,3,1,Sales Representative,4,Divorced,2793.0,2539,4.0,No,17.0,3,3,1,13.0,2.0,3,9.0,8.0,5.0,8.0
140,31,0.0,Travel_Rarely,1062,Research & Development,24.0,3,Medical,3,Female,96,2,2,Healthcare Representative,1,Single,6812.0,17198,1.0,No,19.0,3,2,0,10.0,2.0,3,10.0,9.0,1.0,8.0
141,48,0.0,Travel_Rarely,715,Research & Development,1.0,3,Life Sciences,4,Male,76,2,5,Research Director,4,Single,17490.875,8733,6.0,No,12.0,3,3,0,25.0,3.0,4,1.0,0.0,0.0,0.0
142,36,0.0,Travel_Rarely,676,Research & Development,1.0,3,Other,3,Female,35,3,2,Manufacturing Director,2,Married,5228.0,23361,0.0,No,15.0,3,1,1,10.0,2.0,3,9.0,7.0,0.0,5.0
143,37,0.0,Travel_Rarely,977,Research & Development,1.0,3,Life Sciences,4,Female,56,2,2,Manufacturing Director,4,Married,6474.0,9961,1.0,No,13.0,3,2,1,14.0,2.0,2,14.0,8.0,3.0,11.0
146,38,0.0,Travel_Rarely,702,Sales,1.0,4,Life Sciences,1,Female,59,2,2,Sales Executive,4,Single,8686.0,12930,4.0,No,22.0,4,3,0,12.0,2.0,4,8.0,3.0,0.0,7.0
147,32,0.0,Travel_Rarely,117,Sales,13.0,4,Life Sciences,2,Male,73,3,2,Sales Executive,4,Divorced,4403.0,9250,2.0,No,11.0,3,3,1,8.0,3.0,2,5.0,2.0,0.0,3.0
149,28,0.0,Travel_Rarely,857,Research & Development,10.0,3,Other,3,Female,59,3,2,Research Scientist,3,Single,3660.0,7909,3.0,No,13.0,3,4,0,10.0,4.0,4,8.0,7.0,1.0,7.0
150,43,0.0,Travel_Frequently,957,Research & Development,28.0,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4739.0,16090,4.0,No,12.0,3,4,0,18.0,2.0,3,3.0,2.0,1.0,2.0
152,30,0.0,Travel_Rarely,1465,Research & Development,1.0,3,Medical,4,Male,63,3,1,Research Scientist,2,Married,3579.0,9369,0.0,Yes,21.0,4,1,1,12.0,2.0,3,11.0,9.0,5.0,7.0
153,33,0.0,Non-Travel,722,Sales,17.0,3,Life Sciences,4,Male,38,3,4,Manager,3,Single,17444.0,20489,1.0,No,11.0,3,4,0,10.0,2.0,3,10.0,8.0,6.0,0.0
154,43,0.0,Travel_Rarely,177,Research & Development,8.0,3,Life Sciences,1,Female,55,3,2,Manufacturing Director,2,Divorced,4765.0,23814,4.0,No,21.0,4,3,1,4.0,2.0,4,1.0,0.0,0.0,0.0
155,42,0.0,Travel_Frequently,458,Research & Development,26.0,5,Medical,1,Female,60,3,3,Research Director,1,Married,13191.0,23281,3.0,Yes,17.0,3,3,0,20.0,4.5,3,1.0,0.0,0.0,0.0
156,37,0.0,Travel_Rarely,921,Research & Development,10.0,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,3452.0,17663,6.0,No,20.0,4,2,1,17.0,3.0,3,5.0,4.0,0.0,3.0
160,24,0.0,Travel_Frequently,535,Sales,24.0,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,2400.0,5530,0.0,No,13.0,3,3,2,3.0,3.0,3,2.0,2.0,2.0,1.0
161,37,0.0,Non-Travel,1063,Research & Development,25.0,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,4449.0,23866,3.0,Yes,15.0,3,1,2,15.0,2.0,3,13.0,11.0,7.5,7.0
162,37,0.0,Travel_Rarely,558,Sales,2.0,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,9602.0,3010,4.0,Yes,11.0,3,3,1,17.0,3.0,2,3.0,0.0,1.0,0.0
163,40,0.0,Travel_Frequently,1395,Research & Development,26.0,3,Medical,2,Female,54,3,2,Research Scientist,2,Divorced,5605.0,8504,1.0,No,11.0,3,1,1,20.0,2.0,3,18.0,7.0,2.0,13.0
165,55,1.0,Travel_Rarely,436,Sales,2.0,1,Medical,3,Male,37,3,2,Sales Executive,4,Single,5160.0,21519,4.0,No,16.0,3,3,0,12.0,3.0,2,9.0,7.0,7.0,3.0
166,34,0.0,Travel_Rarely,507,Sales,15.0,2,Medical,3,Female,66,3,2,Sales Executive,1,Single,6125.0,23553,1.0,No,12.0,3,4,0,10.0,4.5,4,10.0,8.0,7.5,6.0
167,18,0.0,Travel_Rarely,812,Sales,10.0,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,1200.0,9724,1.0,No,12.0,3,1,0,0.0,2.0,3,0.0,0.0,0.0,0.0
168,41,0.0,Travel_Rarely,334,Sales,2.0,4,Life Sciences,4,Male,88,3,4,Manager,2,Single,16015.0,15896,1.0,No,19.0,3,2,0,22.0,2.0,3,18.0,10.0,0.0,4.0
169,44,0.0,Travel_Frequently,383,Sales,1.0,5,Marketing,1,Female,79,3,2,Sales Executive,3,Married,4768.0,9282,7.0,No,12.0,3,3,1,11.0,4.0,2,1.0,0.0,0.0,0.0
170,42,0.0,Travel_Rarely,691,Sales,8.0,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173,0.0,No,11.0,3,4,1,10.0,2.0,3,9.0,7.0,4.0,2.0
171,51,0.0,Travel_Rarely,313,Research & Development,3.0,3,Medical,4,Female,98,3,4,Healthcare Representative,2,Single,13734.0,7192,3.0,No,18.0,3,3,0,21.0,4.5,3,7.0,7.0,1.0,0.0
172,32,1.0,Travel_Rarely,515,Research & Development,1.0,3,Life Sciences,4,Male,62,2,1,Laboratory Technician,3,Single,3730.0,9571,0.0,Yes,14.0,3,4,0,4.0,2.0,1,3.0,2.0,1.0,2.0
174,31,0.0,Travel_Rarely,688,Sales,7.0,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,11557.0,25291,8.5,No,21.0,4,3,1,10.0,3.0,2,5.0,4.0,0.0,1.0
